lc,pi,ma,nbd,ml,d,mi,fo,r,e,label
0.8333333333333334,0.5141509433962262,0.5,0.0,1.3333333333333333,0.9310344827586208,-0.6289057928613222,1.3333333333333333,-0.3875,1.2925873575352027,1.0
0.0,0.5896226415094338,0.0,0.0,1.3333333333333333,0.9172413793103449,0.16922176711527176,-0.3333333333333333,0.7749999999999999,0.33271904242185685,1.0
0.0,0.5896226415094338,0.0,0.0,0.6666666666666666,0.9172413793103449,0.0044470450555880075,1.3333333333333333,0.5750000000000001,0.653987225134637,1.0
-0.5,-0.2216981132075472,-0.5,-1.0,0.0,0.0,1.190169689877121,-1.0,0.35,0.0,1.0
0.5,1.55188679245283,0.5,1.0,1.6666666666666667,0.0,-0.3686366296079577,0.3333333333333333,0.13749999999999998,0.0,1.0
0.3333333333333333,0.9386792452830187,0.0,0.0,0.6666666666666666,0.0,-0.14581626682270368,0.0,-0.28750000000000003,0.0,1.0
0.5,0.7783018867924528,0.0,0.0,0.6666666666666666,0.896551724137931,-0.24411936805149212,0.0,-0.012500000000000013,0.5003310014134655,1.0
0.16666666666666666,0.410377358490566,0.5,0.0,0.6666666666666666,0.8758620689655173,-0.08777062609713278,-0.3333333333333333,-0.03750000000000003,0.5392639244243259,0.0
-0.16666666666666666,-0.15566037735849056,-0.5,-1.0,0.0,1.3793103448275863,-0.011468695143358897,-0.6666666666666666,-0.4,1.9306865148234957,3.0
-0.3333333333333333,-0.3726415094339622,-0.5,-1.0,0.0,0.0,0.32978349912229366,-0.3333333333333333,0.5375000000000001,0.0,3.0
0.3333333333333333,0.9386792452830187,0.0,0.0,0.0,0.0,-0.17811585722644843,0.0,-0.2,0.0,3.0
-0.3333333333333333,-0.11792452830188677,-0.5,-1.0,0.0,0.0,0.3845523698069046,0.0,0.7749999999999999,0.0,1.0
0.3333333333333333,0.9386792452830187,0.0,0.0,1.3333333333333333,1.1172413793103448,-0.3152720889409009,-0.6666666666666666,-0.2,1.2023402694530425,1.0
0.5,1.0801886792452828,0.0,0.0,0.6666666666666666,1.2620689655172415,-0.3728496196606202,-0.3333333333333333,0.525,1.1989050115403197,3.0
1.3333333333333333,1.4198113207547165,1.5,1.0,2.3333333333333335,2.6344827586206896,-0.781041544763019,-1.0,0.41250000000000003,2.951172818521766,1.0
-0.3333333333333333,-0.11792452830188677,-0.5,-1.0,0.0,0.0,0.3166764189584551,-0.3333333333333333,-0.4,0.0,3.0
0.6666666666666666,0.2594339622641508,0.0,0.0,0.0,0.0,-0.6626097132826211,2.3333333333333335,-0.3625000000000001,0.0,1.0
1.1666666666666667,0.6273584905660377,0.5,0.0,1.3333333333333333,1.0896551724137933,-0.7674663545933288,1.3333333333333333,-0.4,1.5883058095221056,3.0
-0.16666666666666666,-0.15566037735849056,-0.5,-1.0,0.0,0.0,0.3316559391456988,-0.3333333333333333,-0.3375000000000001,0.0,2.0
0.0,-0.2216981132075472,-0.5,-1.0,0.0,0.0,-0.08964306612053857,1.0,-0.4,0.0,2.0
-0.3333333333333333,-0.11792452830188677,0.0,-1.0,0.6666666666666666,1.0,0.3190169689877118,-0.3333333333333333,-0.03750000000000003,0.6933495553845879,1.0
0.3333333333333333,0.9386792452830187,0.0,0.0,1.6666666666666667,2.5586206896551724,-0.36021064950263326,0.0,-0.375,3.325401227389025,2.0
0.0,-0.11792452830188677,-0.5,-1.0,0.0,0.0,0.06717378583967239,-0.3333333333333333,0.18749999999999997,0.0,1.0
-0.3333333333333333,-0.3726415094339622,-0.5,-1.0,0.0,0.0,0.3396138092451722,-0.6666666666666666,-0.4,0.0,1.0
0.16666666666666666,-0.13679245283018865,-0.5,-1.0,0.0,0.0,-0.07934464599180838,0.0,0.2750000000000001,0.0,1.0
